No.,CASRN,DTXSID,PREFERRED_NAME,Original_SMILES,Original_InChi,Original_InChiKey,Canonical_QSARr,InChIKey_QSARr,Salt_Solvent,fup,log10_fup,tr_tst,outliers
0,CHEMBL1188966,?,,CN(C)C1=NC(=NC2=CC=CC=C21)NCC3CCC(CC3)CNS(=O)(=O)C4=C(C=C(C=C4)Br)OC(F)(F)F,"InChI=1S/C25H29BrF3N5O3S/c1-34(2)23-19-5-3-4-6-20(19)32-24(33-23)30-14-16-7-9-17(10-8-16)15-31-38(35,36)22-12-11-18(26)13-21(22)37-25(27,28)29/h3-6,11-13,16-17,31H,7-10,14-15H2,1-2H3,(H,30,32,33)",NWUCPBLQECHRFK-UHFFFAOYSA-N,CN(C)C1=NC(NCC2CCC(CNS(=O)(=O)C3C=CC(Br)=CC=3OC(F)(F)F)CC2)=NC2=CC=CC=C21,NWUCPBLQECHRFK-UHFFFAOYSA-N,,0.0004999999996131,-3.301029996,1,1
1,848585-46-6,?,,COC1=CC2=C(C=C1)N=C(S2)NC(=O)CCC3=CC(=C(C=C3)OC)OC,"InChI=1S/C19H20N2O4S/c1-23-13-6-7-14-17(11-13)26-19(20-14)21-18(22)9-5-12-4-8-15(24-2)16(10-12)25-3/h4,6-8,10-11H,5,9H2,1-3H3,(H,20,21,22)",BZYGSSOTQLPQLM-UHFFFAOYSA-N,COC1=CC2SC(NC(=O)CCC3C=CC(OC)=C(C=3)OC)=NC=2C=C1,BZYGSSOTQLPQLM-UHFFFAOYSA-N,,0.0005999999994699,-3.22184875,1,1
2,875787-07-8,?,,C1=CC2=C(N(N=C2C(=C1)C(F)(F)F)CC3=C(C=C(C=C3)F)Cl)C4=CC=C(C=C4)F,"InChI=1S/C21H12ClF5N2/c22-18-10-15(24)9-6-13(18)11-29-20(12-4-7-14(23)8-5-12)16-2-1-3-17(19(16)28-29)21(25,26)27/h1-10H,11H2",KYWWJENKIMRJBI-UHFFFAOYSA-N,FC1=CC(Cl)=C(CN2N=C3C(=CC=CC3=C2C2C=CC(F)=CC=2)C(F)(F)F)C=C1,KYWWJENKIMRJBI-UHFFFAOYSA-N,,0.0005999999994699,-3.22184875,1,1
3,851546-61-7,?,,C1CCC2=C(C1)C=CC3=C(C(=C(N=C23)CC4=CC=C(C=C4)Cl)O)C(=O)O,"InChI=1S/C21H18ClNO3/c22-14-8-5-12(6-9-14)11-17-20(24)18(21(25)26)16-10-7-13-3-1-2-4-15(13)19(16)23-17/h5-10,24H,1-4,11H2,(H,25,26)",DIEPFYNZGUUVHD-UHFFFAOYSA-N,OC1C(=C2C=CC3CCCCC=3C2=NC=1CC1=CC=C(Cl)C=C1)C(O)=O,DIEPFYNZGUUVHD-UHFFFAOYSA-N,,0.000699999999977,-3.15490196,1,1
4,CHEMBL1197658,?,,CC1=CC(=CC=C1)NC2=NC3=CC=CC=C3C(=N2)NCC4=CC=CO4,"InChI=1S/C20H18N4O/c1-14-6-4-7-15(12-14)22-20-23-18-10-3-2-9-17(18)19(24-20)21-13-16-8-5-11-25-16/h2-12H,13H2,1H3,(H2,21,22,23,24)",DPRZKNDPFKQQOC-UHFFFAOYSA-N,CC1C=CC=C(C=1)NC1=NC2=CC=CC=C2C(NCC2=CC=CO2)=N1,DPRZKNDPFKQQOC-UHFFFAOYSA-N,,0.000699999999977,-3.15490196,1,1
5,CHEMBL1957361,?,,CCOC1=CC=CC=C1C2=CC=C(C=C2)C3=C(C(=O)C4=C(N3)C=CN=C4)C#N,"InChI=1S/C23H17N3O2/c1-2-28-21-6-4-3-5-17(21)15-7-9-16(10-8-15)22-18(13-24)23(27)19-14-25-12-11-20(19)26-22/h3-12,14H,2H2,1H3,(H,26,27)",IMYDUDGJIZQSHN-UHFFFAOYSA-N,CCOC1C=CC=CC=1C1C=CC(=CC=1)C1=NC2C=CN=CC=2C(=O)C1C#N,TWSNEEZMVNGEIR-UHFFFAOYSA-N,,0.000699999999977,-3.15490196,1,1
6,CHEMBL1818187,?,,CC(C)(C)OC(=O)NCC1CCC(CC1)CNC(=O)C2=CC(=NC3=CC=CC=C32)C4=CC=CC=C4,"InChI=1S/C29H35N3O3/c1-29(2,3)35-28(34)31-19-21-15-13-20(14-16-21)18-30-27(33)24-17-26(22-9-5-4-6-10-22)32-25-12-8-7-11-23(24)25/h4-12,17,20-21H,13-16,18-19H2,1-3H3,(H,30,33)(H,31,34)",SCNRXTBZJMAAGM-UHFFFAOYSA-N,CC(C)(C)OC(=O)NCC1CCC(CNC(=O)C2=CC(=NC3=CC=CC=C23)C2C=CC=CC=2)CC1,SCNRXTBZJMAAGM-UHFFFAOYSA-N,,0.0008000000000148,-3.096910013,1,1
7,CHEMBL1957369,?,,C1=CC=C(C(=C1)C2=CC=C(C=C2)C3=C(C(=O)C4=C(N3)C=CN=C4)C#N)Cl,"InChI=1S/C21H12ClN3O/c22-18-4-2-1-3-15(18)13-5-7-14(8-6-13)20-16(11-23)21(26)17-12-24-10-9-19(17)25-20/h1-10,12H,(H,25,26)",JFDJLEXDQBPRLE-UHFFFAOYSA-N,N#CC1C(=O)C2C=NC=CC=2N=C1C1C=CC(=CC=1)C1C=CC=CC=1Cl,CUAYQHMPNFSQIQ-UHFFFAOYSA-N,,0.0008000000000148,-3.096910013,1,1
8,CHEMBL2011440,?,,COC1=C(N=C(C(=N1)Cl)Cl)NS(=O)(=O)C2=CC=C(S2)Cl,"InChI=1S/C9H6Cl3N3O3S2/c1-18-9-8(13-6(11)7(12)14-9)15-20(16,17)5-3-2-4(10)19-5/h2-3H,1H3,(H,13,15)",OUZKJGOSIGMDHS-UHFFFAOYSA-N,COC1N=C(Cl)C(Cl)=NC=1NS(=O)(=O)C1=CC=C(Cl)S1,OUZKJGOSIGMDHS-UHFFFAOYSA-N,,0.0008000000000148,-3.096910013,1,1
9,CHEMBL2171018,?,,COC1=CC=CC(=C1)C(=O)NCCN2CCC(CC2)OC3=CC(=C(C=C3)Cl)Cl,"InChI=1S/C21H24Cl2N2O3/c1-27-17-4-2-3-15(13-17)21(26)24-9-12-25-10-7-16(8-11-25)28-18-5-6-19(22)20(23)14-18/h2-6,13-14,16H,7-12H2,1H3,(H,24,26)",WOCAUAGFAOCBHT-UHFFFAOYSA-N,COC1C=C(C=CC=1)C(=O)NCCN1CCC(CC1)OC1C=CC(Cl)=C(Cl)C=1,WOCAUAGFAOCBHT-UHFFFAOYSA-N,,0.0008000000000148,-3.096910013,1,1
