"Table S1. The list of 2319 compounds and their fu,p values",,,,,,,
No.,Test set or Training set,fup,fup_log,chembl_id,standard_inchi,canonical_smiles,Split
1,Te,0.01,-2,CHEMBL6,"InChI=1S/C19H16ClNO4/c1-11-15(10-18(22)23)16-9-14(25-2)7-8-17(16)21(11)19(24)12-3-5-13(20)6-4-12/h3-9H,10H2,1-2H3,(H,22,23)",COc1ccc2c(c1)c(CC(=O)O)c(n2C(=O)c1ccc(cc1)Cl)C,-1
2,Te,0.1,-1,CHEMBL269236,"InChI=1S/C11H12N2/c1-2-4-10-8(3-1)9-5-6-12-7-11(9)13-10/h1-4,12-13H,5-7H2",N1CCc2c(C1)[nH]c1c2cccc1,-1
3,Te,0.3,-0.523,CHEMBL11,"InChI=1S/C19H24N2/c1-20(2)14-7-15-21-18-10-5-3-8-16(18)12-13-17-9-4-6-11-19(17)21/h3-6,8-11H,7,12-15H2,1-2H3",CN(CCCN1c2ccccc2CCc2c1cccc2)C,-1
4,Te,0.56,-0.252,CHEMBL22,"InChI=1S/C14H18N4O3/c1-19-10-5-8(6-11(20-2)12(10)21-3)4-9-7-17-14(16)18-13(9)15/h5-7H,4H2,1-3H3,(H4,15,16,17,18)",COc1cc(cc(c1OC)OC)Cc1c[nH]c(=N)[nH]c1=N,-1
5,Te,0.1,-1,CHEMBL6966,"InChI=1S/C27H38N2O4/c1-20(2)27(19-28,22-10-12-24(31-5)26(18-22)33-7)14-8-15-29(3)16-13-21-9-11-23(30-4)25(17-21)32-6/h9-12,17-18,20H,8,13-16H2,1-7H3",COc1ccc(cc1OC)CCN(CCCC(c1ccc(c(c1)OC)OC)(C(C)C)C#N)C,-1
6,Te,0.66,-0.18,CHEMBL26,"InChI=1S/C15H23N3O4S/c1-3-18-8-4-5-11(18)10-17-15(19)13-9-12(23(16,20)21)6-7-14(13)22-2/h6-7,9,11H,3-5,8,10H2,1-2H3,(H,17,19)(H2,16,20,21)",CCN1CCCC1CN=C(c1cc(ccc1OC)S(=O)(=O)N)O,-1
7,Te,0.5,-0.301,CHEMBL423,"InChI=1S/C18H29NO3/c1-14(2)19-11-17(20)13-22-18-7-5-15(6-8-18)9-10-21-12-16-3-4-16/h5-8,14,16-17,19-20H,3-4,9-13H2,1-2H3",OC(COc1ccc(cc1)CCOCC1CC1)CNC(C)C,-1
8,Te,0.203,-0.693,CHEMBL428,"InChI=1S/C20H15F3N4O3/c21-8-1-2-15(13(22)3-8)27-7-12(20(29)30)17(28)9-4-14(23)19(25-18(9)27)26-5-10-11(6-26)16(10)24/h1-4,7,10-11,16H,5-6,24H2,(H,29,30)/t10-,11+,16+",N[C@@H]1[C@@H]2[C@H]1CN(C2)c1nc2c(cc1F)c(=O)c(cn2c1ccc(cc1F)F)C(=O)O,-1
9,Te,0.03,-1.523,CHEMBL42,"InChI=1S/C18H19ClN4/c1-22-8-10-23(11-9-22)18-14-4-2-3-5-15(14)20-16-7-6-13(19)12-17(16)21-18/h2-7,12,20H,8-11H2,1H3",CN1CCN(CC1)C1=Nc2cc(Cl)ccc2Nc2c1cccc2,-1
10,Te,0.048,-1.319,CHEMBL451,"InChI=1S/C16H14ClN3O/c1-18-15-10-20(21)16(11-5-3-2-4-6-11)13-9-12(17)7-8-14(13)19-15/h2-9H,10H2,1H3,(H,18,19)",CN=C1Nc2ccc(cc2C(=N(=O)C1)c1ccccc1)Cl,-1
